positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,epoch,author
42.6348299227,22.6191106055,24.9267454784,41.3651828381,16.6575768863,31.7919257268,39.977458761,29.5947642102,42.4017125495,32.6228740988,35.6785813841,37.2394435145,26.7046339564,24.9484282908,27.619047619,38.5689735524,54.0847156953,25.8299477655,23.850170717,22.7536026384,35.2777006083,31.6293208268,28.7810939301,16.475594199,25.6084731985,18.657180675,29.9192375295,23.8353552624,36.2448830409,38.1525032711,17.0104166666,34.370051726,32.3021201413,20.4505541089,11.5852376279,8.88541879992,17.8841393334,36.4947660098,28.5448498419,17.9289854367,30.102187924,31.4854390032,31.1830439601,47.079645067,20.7769579601,26.2076824726,46.9353870029,40.4627595847,33.0108867534,52.653967728,7.43588548376,19.4355100276,27.3150135967,13.2512588662,9.88427019367,33.3026057031,19.4019297954,2.78617597998,12.6626192541,12.1581116523,14.9406492248,0.16733601071,unidentified,AndrewLang
46.3490691944,22.9881484617,23.7786703041,66.4336822148,21.6302410344,23.6475487313,47.6674492043,22.8953738569,71.8085351257,52.510753973,45.6737348268,49.0029766605,26.7781347352,35.6078094303,20.5544683627,31.9832809041,87.041819569,35.2807603018,30.6499799156,14.2191307453,55.5535552404,65.9760581321,76.5949145217,33.1127467436,70.9797733467,38.8545665122,30.1828898721,39.7929897411,61.59375,41.1752806281,49.6755952381,39.2675234878,28.332155477,17.9877217949,10.6744181971,9.01981363916,17.6940588807,49.5144447865,29.9682231296,28.8776727875,24.6824118046,71.4589068386,51.5676948651,76.2207087201,68.1364531836,72.6944243705,49.6483087255,54.2575628994,35.8451678628,49.3690891942,15.9289400977,18.0739499432,37.5304136253,48.5651632465,2.8460085026,8.70001638807,22.0689153219,8.17217472894,0.887178375253,12.4320906707,20.6153100775,1.09605087015,enlightment,AlgerHoratio
59.2391577122,37.433665776,35.621905628,51.2944109703,25.7459827605,40.2150899008,48.2174762122,38.6776044468,51.9049811251,48.3064484009,52.1152530347,49.7324953416,36.0619158878,38.1905697446,30.2948467058,42.9255505068,57.1008780963,20.8612884504,27.1178951597,18.4175699521,30.4436191367,46.0436569973,48.4661928544,29.2453336914,33.89088127,27.2285903375,31.6231286745,37.5687998697,40.0070175439,35.5664210454,21.9134920635,38.0798057638,33.4694935218,26.1079149761,12.821393523,13.250051198,8.34232163382,45.6865763547,39.9064805058,26.4614485412,32.0563093623,28.3990147783,34.6231991134,40.4374355449,30.1630549257,32.4053588304,42.0516237638,28.4874201278,30.9042695536,48.070050218,15.049664384,15.1829828639,24.7960498068,19.5830851697,13.3890153304,19.6034087184,14.8344701381,1.42410341951,2.78115062157,18.2128137879,13.246124031,0.0,unidentified,EdwardBulwerLytton
57.9302250714,19.0438818491,25.9360299979,47.3861301568,12.8445248484,17.887749958,33.1375835053,21.2938059092,35.0049616876,47.7693250665,27.3535896201,33.5554643169,18.7521633783,17.347740668,20.705950569,27.3188602794,56.4911722304,23.0670019991,39.3117761264,12.3238943506,26.5160967495,62.1371727816,40.5952533402,53.1034122615,41.2284756425,54.9840429444,40.0690950967,56.7165439336,28.5737491878,31.4854348874,15.0321869489,26.6957551873,19.450333726,15.3737459375,7.13273205913,1.35617903384,8.89694397783,62.5608921729,43.5204698903,30.9147684531,47.4853007689,45.4634727454,26.4622583426,42.8303604395,40.4543896385,40.209757815,52.3542041726,39.7624911253,37.5139547771,61.7896057622,32.8913071319,34.0186556631,14.8434394033,45.6729294132,7.3569898322,14.0718889981,13.6194754062,1.04948568251,3.38890495005,21.2439115774,9.04931093883,1.23456790124,enlightment,DickensCharles
53.0260306162,34.3088807174,37.027382035,40.0893413671,26.6973502182,43.3040665434,32.7710142519,30.2568585261,41.3157167848,51.3219420879,47.023136768,45.7834064997,33.5634735202,36.8192534381,47.3816046967,21.2291739485,68.6869745932,19.4114915845,27.6139787106,17.6285606252,27.8025207627,61.7664292745,46.6346523242,54.4816704713,50.4810405011,38.0714758438,46.4888781138,49.1206643869,29.8894736842,27.0924867433,15.892063492,32.9420458144,33.4077738516,20.9725670684,19.0403757185,5.35531435593,11.2218194678,58.9942528736,35.1317175975,32.8512980371,45.3694029851,45.6302521008,39.6601403768,19.9597513464,76.482052807,46.4372672189,42.3837413201,40.3284744409,35.9788346917,34.4676132453,23.8516170588,20.5632736905,28.3955918134,28.7059396827,10.7244385279,29.1461815798,28.6857428049,3.29441201001,13.9173171437,26.7590857999,19.1981589147,2.95850066934,unidentified,GeorgeBernardShaw
64.1701457806,18.5095632391,20.0929574618,44.1689175151,21.3999148665,19.0493194421,44.9245855321,16.5770127309,30.5975508701,77.1669255586,43.0947010973,52.4037520134,19.6234423676,17.231827112,19.1232876712,21.8513340324,54.7619404243,51.769007545,16.0875677847,19.7008654735,37.6903731431,40.8942157374,34.2047637341,31.1689270847,21.4340362454,20.512772998,36.9804230559,31.9622211366,21.2514619883,27.7088354796,11.7075396825,14.2373060277,36.788221437,11.1651426149,8.66535819431,4.587343846,44.9633100522,79.8497536946,54.7923252547,20.6867663533,61.8955223881,63.752535497,30.3066124861,46.8008765899,32.618914867,33.3025737951,53.4950375254,45.5566094249,38.2427928476,57.6033036784,19.8749067733,36.6517109033,67.5268355518,37.4070063349,18.976252845,14.8131760079,24.3220761937,3.64053377815,0.789245446661,19.3705507681,23.386627907,0.0,unidentified,SamuelPepys
46.6431937378,14.0398990033,11.9025967465,41.9563912552,22.4598867251,26.1188595754,38.7935531825,11.4647460801,26.6314744908,57.1549324447,20.783107935,27.8807721596,15.5854101765,22.9862475442,20.1420598681,13.4076404262,64.0465239162,30.4714000129,14.1259958492,13.6407771522,27.8507232815,41.2256898204,31.0811243437,41.0650075347,26.3568115526,22.0154423119,33.4794701362,36.4885077228,21.2322936972,15.5223469458,18.1525573192,13.0311880549,20.5753173668,12.903638211,7.99803729146,16.5676838009,7.94801520643,40.5694672505,40.2402138703,9.99410106125,32.1328961254,27.8260729579,19.7512621598,32.6524960849,34.3922817365,60.324519305,32.1361631323,36.0772763578,17.9945667599,44.3713692535,11.0397315072,22.8895255599,12.4723693208,13.6655416584,65.1746563414,17.0854728868,16.9319211076,2.53915299787,20.2499116636,11.2484909038,4.61886304909,0.0,unidentified,ArchbishopWake
42.9566349969,31.3094170188,34.0112247054,43.1190147895,21.3980283843,33.9816837506,26.3189505056,31.8295923191,39.7686467846,39.6053979875,32.8414015219,29.6890836164,31.1137071651,34.3382746919,29.8523394414,37.4672979357,60.6643847624,14.956998892,33.4879219997,17.7668415947,40.836381714,59.0890668014,49.5005762582,39.3801042519,45.4297674782,43.3174899224,41.1148885056,48.1369631834,45.110313663,50.6388866282,20.4411976912,40.871184131,35.7854159974,29.8536139571,11.8316913704,6.63526520582,11.5880759679,49.2388789372,38.4727145001,19.2152886323,37.8953373628,37.1018940492,32.5855526077,52.2227257102,31.2741960737,29.4321277144,58.6244715515,47.4068762707,45.0582211852,59.8571557683,16.8955984689,28.1700730752,26.17328285,26.3256857929,4.85991013324,17.931527666,9.36162489981,2.39214496929,1.27730032327,11.2163220818,9.53576462296,1.27783862724,unidentified,ConradJosep
40.6902967576,49.3908156457,53.3107675727,50.3555186185,36.3254230073,71.9230194739,33.632959839,42.0775805391,56.6757716192,39.0143519072,48.7223672318,34.6812087014,49.4790584977,51.0849159572,58.4474885845,44.9402565796,68.3955032151,11.0079319017,35.5113699761,26.8728584899,51.6025266113,46.0488037108,54.2114867461,22.7511451293,42.524851634,20.5432752408,30.7655009395,28.2720271158,53.0610786225,61.6203352998,19.0802469136,49.2546066599,55.984818741,54.402255462,11.7318566288,9.48187589597,15.7133174196,45.965380405,26.1527728993,22.8234810233,34.9660786974,42.3339450723,60.1383245085,73.1691557491,19.6050006815,36.1702521911,71.0673314473,63.9382543486,55.2626741813,67.5937019382,6.00605690782,13.8662149906,24.4978770097,8.88756534974,6.10736557831,34.2692741906,13.3329636407,4.25817811139,1.84703350358,9.17114191748,13.9830964685,1.01145322029,unidentified,BurroughsEdgarRice
57.3659115278,33.9998941827,34.2937253713,61.864221899,26.4430137278,42.5890606621,54.0266755308,37.6492738031,54.0511923396,58.4394790297,58.5676997542,53.7456968702,41.3395638629,43.2239685658,34.9028049576,47.6954444833,75.8470165322,45.1108531631,25.0853585057,36.1097806907,41.7392385074,55.0620114643,46.6154437188,36.379750235,50.2180461914,24.9336863005,48.4829383599,37.4073169408,50.9736842105,40.7499483507,34.0642857143,39.2114430487,29.2739693757,21.0004239084,13.388476097,3.50808928937,10.8805587481,57.2107963875,34.8046188971,24.0821197214,47.895183175,46.6212691973,52.0317694865,74.9379798327,32.1345822647,35.6995941965,51.6310408922,47.4615615016,38.3132222357,52.4438553111,8.60295613261,15.6121952538,29.1741806212,16.0853321782,24.6575342466,25.0376925598,17.9737148561,2.11217681401,3.13096270598,12.7913076058,20.1332364341,0.0669344042838,unidentified,CharlotteMYonge
