x,y,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,epoch,author
163.069099627,-10.8295763668,43.748942679,13.6061399783,39.8984462871,10.8817110688,22.3858084863,41.0389306685,36.0698657057,45.9225583725,52.0064243209,41.320942421,54.3770057001,47.6214793723,53.1463690868,35.3491295691,21.9832685694,36.0145016709,55.9955863407,16.812261097,25.130741068,34.3648005417,37.2122469518,45.3683826752,33.0879663512,32.9259373162,49.338094252,32.830932579,33.6980443495,26.0650985061,42.9970824496,20.6494858383,21.6807704647,24.1441063159,19.9888146505,25.5334366305,18.3678738389,7.12652118117,3.27998839245,24.5434220539,23.3719316605,25.8680068162,10.8901878902,37.4375178009,22.7727348919,57.8094570156,30.3126004886,37.533507032,49.4601573866,29.2953779119,27.6917614487,37.0000027697,11.983050172,28.7306286107,11.1996519449,9.97921004572,8.59159274239,8.01339038127,3.19093343785,1.92237002569,0.137930893075,2.81804333321,4.30798701853,0.0,romantic,GeorgEbers
148.714751039,-17.4789826248,36.5213339072,12.8710203989,37.2517389679,9.49987130392,19.8750514125,42.5109779638,26.1900909192,39.7074144896,53.8120609561,34.1191551596,46.8454454394,38.1170322906,51.0793827213,34.7495318352,20.8286038062,30.488421551,44.326978175,6.39270215031,25.3078809134,9.9099200002,32.1537042329,41.4601341769,30.5330816797,30.5150568138,34.8644076618,34.7590659444,29.9724695198,23.7243696813,46.4045900629,20.3599201762,29.8446389214,24.5368562764,17.9517316967,23.0478691606,13.3874082602,5.19234937318,4.38967513517,25.3773124079,21.1487292162,27.2583134533,11.4553759349,39.671852355,22.6643601376,56.3223913415,33.3665587808,32.8879861786,54.5912573003,35.4409350058,34.720166843,31.5850766679,12.868335749,24.4199697059,7.33582455118,10.0699968705,3.40102860639,5.97335125504,5.4674822257,4.76076207683,0.406452451794,3.26191007322,7.52919728404,0.326562240549,romantic,RMBallantyne
169.348479369,26.9766733261,35.4518600405,10.4194229298,27.382284993,10.0722273203,16.5059526017,28.578507374,33.3830033721,35.0713410493,55.6553491506,33.8687449508,54.5108030636,50.501007545,48.7278634246,37.4863572162,16.9391596181,31.7050169747,65.6148114518,12.3516595587,31.7072293737,34.1420086851,35.34872085,53.8839385137,42.2849946385,39.5093642415,56.6475728459,35.0096207413,42.7487900566,28.3288386735,44.0273680694,20.9855370907,30.3309294381,15.001271941,16.122104281,18.5483059005,11.3571234217,4.8123109767,4.73651602377,22.7368003379,26.0149654181,24.1547172886,7.23927905757,43.8997302872,22.4888364049,56.8309308688,61.7228264947,49.6402113488,46.6174468396,37.6946749977,25.444301513,31.1197614742,8.48959272994,29.8750931618,13.6924008399,10.8803431388,2.17527586828,2.97879926904,4.12873591886,2.34859361744,0.168172535429,1.97238846141,7.3600302117,0.660546350201,enlightment,CharlesPauldeKock
174.461446508,-7.03419199821,35.4061669176,14.0765405452,37.8071270426,9.72874067549,21.0381983154,44.4484414346,25.9572861311,43.1903501901,55.2735652228,35.1775263163,49.7101714748,38.7364512948,56.3371144209,61.2423147224,16.9916707017,35.6133005389,49.5329370291,11.3875830325,19.1613542242,28.6711770197,31.5127713016,54.3854834607,44.2898067489,35.8177022958,52.7815245074,41.203825613,38.0768203452,31.5650380134,52.0768301943,29.5708963141,24.9055167922,21.7166714053,16.7759185786,23.9877938506,12.7221849703,6.02624611488,2.30112447959,20.6031025358,17.312320351,25.4270145405,7.90745157539,36.4224318952,28.1854394228,63.8466615007,38.9166082968,39.3697860847,52.857008729,34.9730650443,32.0024437355,33.6525787011,12.113020732,17.3500948182,18.3486289514,8.00364220775,2.48549728894,7.58582236621,2.80822891571,1.41463620624,0.127737956994,2.08248816768,4.48183834909,0.0,romantic,nnaKatharineGreen
105.69161644,-24.6084397277,43.0754761584,14.6108155696,45.6335691206,9.22779095545,25.473084198,50.488384256,25.6665949996,44.0340270318,47.6839597671,42.3251169462,45.3119293795,36.7111683421,48.5539724243,33.8670686658,28.2160011768,22.3403471728,32.9789840007,5.70540158895,10.9338734494,8.62121217653,23.8897174866,51.2844025361,34.5457945276,36.0093462064,37.8888041484,45.0795173795,43.2720842031,28.8742322962,21.7875168933,11.2142030047,11.7379505292,9.20493904467,10.9903890676,11.1300430399,10.7965650856,4.02679512268,2.8722420485,21.69992415,18.5488475473,26.7140672591,10.143743515,28.9430755399,20.5346612501,38.8994997003,28.7124748251,28.5514546042,46.6974687545,19.1516797107,30.979283788,29.7612621754,14.0512820513,22.5506047919,6.42606177536,7.2844395336,8.84351993421,8.91338873035,2.98492088615,2.3082445193,0.280934178143,2.32189266672,3.75185619138,0.0,enlightment,ThomasdeQuincey
137.518493261,-22.3525693026,41.1509663275,11.658403739,36.4928554275,9.14200725625,17.8084319252,38.0595491321,22.7697605287,35.0253227509,38.0895563129,36.1188251438,46.7870467269,39.4920648921,48.8968387979,31.5672448799,22.8228672986,28.2953139962,53.5858732374,9.81437163916,15.3534297661,23.4758943687,47.7652823243,46.5986482778,28.8703178089,37.6544383459,40.0644307698,27.8622631362,44.4848537667,25.5729970776,26.5460430486,12.2016724378,18.4422000873,10.3555075045,10.1882041982,9.09327515174,12.2299480991,2.22646421582,2.81096554351,27.7804937278,15.2500800786,31.4645032182,15.0156922734,44.4103998096,25.917003833,69.5671540566,20.2710806497,25.3280932185,48.3230438991,32.3293096615,27.3054268206,32.9528785208,14.0815417126,14.0656783579,8.94295262387,9.93099992035,4.0283709943,7.30528544969,3.52049856294,1.54679648241,0.00702008168822,2.08289794497,6.47348700823,0.0,renaissance,DucdeSaintSimon
135.2593037,-21.3827509587,43.2885982242,14.8607345584,44.026488641,9.29722796809,26.3236392729,48.5222259603,27.5875472886,43.8554812555,50.344451902,42.8430242327,48.9043899759,41.5425470901,49.6867194704,39.699354318,21.6021392343,26.9819262688,47.2276838174,9.23998702021,21.9328656991,14.5789680091,33.6916881217,41.2121562725,31.784342974,28.4619223962,37.5157223246,35.2795567573,26.2190154406,23.9687834772,37.3983970829,14.7310908204,30.0373314134,14.3849256823,13.4212800146,15.9268974945,12.2038782398,5.20937337753,2.91089418751,22.2639771002,17.6181692523,24.5699387788,10.4934020083,35.6390192123,25.4872434493,44.5756316528,30.6747161759,36.1121243408,41.7649319262,23.0611186235,26.3560219301,26.751856694,10.6029033444,21.5242248659,9.45430744212,8.27517343661,7.70879422422,8.5200079378,3.96061373795,3.78390677879,0.287671399397,1.90737423496,6.09036642269,0.0,enlightment,SirWalterSc
171.806475564,34.2671531559,37.1141561357,10.5929552608,29.7581815998,12.1216311426,20.1467056707,26.8972917537,33.3506294708,31.358091101,66.4079043144,41.0649040556,47.7716554359,46.2013218083,38.5203372804,34.9758342161,11.8779620853,22.9726899138,62.2138844007,15.6832352123,19.7444626512,10.1648411418,47.9440957109,54.0498328336,50.7959034281,32.1675373628,65.5178147609,41.8519655353,27.7393051236,26.6485512241,52.432897656,19.2603881114,47.464805151,18.7399834648,11.5325715774,12.0873111682,12.4052728778,3.78066466312,2.98742803928,23.1618610328,17.2196695237,28.1747749307,7.71077888243,63.3083121794,26.131947402,66.7210885234,64.2290701207,66.5235372398,44.5923162476,33.5853713979,26.2538800471,28.4682919353,15.5298603455,23.6620076435,11.7598956119,24.9033368292,1.20767615548,2.84564471319,4.28404043373,4.14685032304,0.0526506126617,2.11838209683,7.01387757596,1.51631773399,romantic,HoratioAlge
176.244273007,-0.52606704598,43.5524073191,14.1977483351,35.3175122988,11.3662103523,25.7080690823,40.3593902331,38.3467952058,48.4001163798,57.1642844539,41.8142315735,61.7449702497,54.031322741,60.1444164209,40.6573681732,20.2655137053,46.1272475795,54.0206619663,19.1513690587,26.4050551852,38.4581203884,30.5647485321,48.8107588921,40.0428625361,27.7050360769,53.14186732,37.7729004593,40.8669717664,24.5284700779,46.1089697622,24.610846599,22.7647922537,21.4445009752,17.6758566137,17.0066746408,21.1366193297,5.81376386171,3.80545208263,21.940295964,21.4402742187,21.6952501222,9.00488888001,37.3508205969,23.8654646981,61.6058770337,43.4326830935,38.9503180855,50.6367516046,30.6409120582,30.1817271121,34.2454031608,9.05818939116,25.3046086832,16.638326012,10.485976511,5.35008391197,7.00686386664,3.16562152982,1.15607800909,0.13869979578,1.63531870428,5.99155602617,0.12315270936,romantic,MEBraddon
162.232613706,12.9999854582,30.7408952825,9.45214169376,22.3168282246,8.62064235186,13.9119657803,25.1304111115,26.3033540196,32.8109775901,39.1725119111,29.5322210606,42.2663512969,36.6803328548,42.1742971544,24.5909839924,12.6437737313,38.6703372699,52.062328633,11.201248532,15.2540776736,37.5686302432,28.2614082841,43.8111604932,31.7102197914,25.5356434334,43.4278860263,28.3043229461,36.3771794964,25.2349838259,52.5012698697,27.7000272528,29.5788854055,21.8527940304,17.0887032464,21.0140433261,14.3597826318,3.31632653061,3.88922987922,20.5772618538,19.9377411564,19.986353267,8.89242689417,32.8199093906,17.4853303047,63.8968396288,38.9589964964,35.5905858254,55.1108042125,36.4461904318,33.1492817927,35.5374260619,9.32647311037,25.5162423719,12.8371357045,7.66888812185,3.86929617345,5.01942946378,2.82132514643,1.31759990428,0.262083049693,1.67769650528,4.54779940811,0.0,romantic,ConstanceFenimoreWoolson
