filename,positive,negative,anger_emolex,anticipation,disgust,fear,joy,sadness,surprise,trust,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,class,epoch
pg5240.txt,3.5027,2.2513,0.8363,1.7346,0.5799,1.1015,1.4205,1.1306,0.8258,2.0328,3.45,2.2557,1.1723,0.2378,0.1741,0.3564,6.9439,0.1614,0.274,0.6534,1.879,7.7615,1.4271,0.7512,1.1366,1.9306,1.4117,2.265,2.1261,0.7402,0.917,0.3899,0.7951,0.352,0.235,0.0368,0.2021,4.0546,1.0779,0.688,1.5292,0.8198,0.3196,4.6201,3.8832,0.8451,9.9755,1.2492,5.5042,3.3545,0.7199,0.4519,0.1938,0.3053,0.2389,0.0664,0.1301,0.0088,0.0022,0.0412,0.0785,0.0,CharlesJamesLever,unidentified
pg32424.txt,3.2778,2.3427,0.9117,1.5114,0.5594,1.129,1.2767,1.2251,0.7779,1.8199,3.3474,1.9855,1.3355,0.2419,0.2071,0.5036,7.115,0.0888,0.1825,0.4166,2.3169,7.3875,1.2581,0.7281,1.0762,1.9651,1.2563,2.3445,2.3175,0.8895,0.8871,0.4376,0.9742,0.4652,0.2809,0.0366,0.2299,3.9363,0.9285,0.647,1.632,0.7581,0.3091,4.7442,3.7778,0.7353,10.4301,1.3385,5.9926,3.2304,0.7275,0.455,0.1981,0.3373,0.1759,0.1098,0.1272,0.0102,0.003,0.0282,0.0858,0.0,CharlesJamesLever,unidentified
pg35717.txt,3.148,2.0479,0.7871,1.4757,0.5609,0.9808,1.2277,1.0439,0.7753,1.9385,3.5349,2.1805,1.3283,0.2065,0.1681,0.5717,10.405,0.1735,0.2095,1.3751,3.3678,8.7982,1.5018,0.8118,1.5954,2.0903,1.3515,3.0188,2.4895,0.8729,1.1937,0.3667,0.8068,0.3588,0.279,0.0202,0.1676,3.8301,0.792,0.5742,1.6689,0.7906,0.3031,5.0785,6.3368,1.1164,8.9116,1.315,4.9371,2.799,0.6999,0.3953,0.1986,0.3549,0.1227,0.0596,0.1272,0.0035,0.0005,0.0227,0.1005,0.0,CharlesJamesLever,unidentified
pg22058.txt,3.6028,2.2974,0.8735,1.5424,0.6478,1.0424,1.2453,1.005,0.6316,2.1367,3.4063,2.2195,1.1511,0.1445,0.2387,0.3442,7.6456,0.1266,0.1835,0.2614,2.3169,8.8828,1.294,0.8897,1.3638,2.3039,1.5246,3.0881,1.4223,0.5585,0.5358,0.2435,0.643,0.1851,0.2744,0.0162,0.1948,4.8221,1.3005,0.7875,1.9289,0.9157,0.3215,3.2034,5.7882,0.8394,8.4623,0.9482,5.0121,2.5734,1.2096,0.5277,0.1607,0.5049,0.1997,0.0601,0.099,0.0049,0.0,0.026,0.0682,0.0,CharlesJamesLever,unidentified
heForsyteSagaComp,2.644,1.8521,0.7519,1.5131,0.5147,0.9184,1.2247,1.0374,0.816,1.5389,2.863,1.6994,1.1338,0.2197,0.2078,0.4001,10.6492,0.4936,0.1612,2.0747,4.8016,7.5863,1.3314,0.6968,1.5617,1.6542,1.1738,2.3437,2.7926,1.3767,0.6806,0.634,1.1355,0.6376,0.2541,0.0578,0.2197,3.3252,0.6343,0.4837,1.3327,0.8315,0.293,6.6081,3.9998,0.6997,10.6211,1.7193,5.8327,3.275,0.5041,0.4559,0.3168,0.3366,0.0925,0.1146,0.0875,0.0192,0.0026,0.0228,0.0423,0.001,GalsworthyJohn,unidentified
heEldestSon,2.2225,1.2478,0.5034,1.1246,0.3588,0.6426,0.9532,0.6105,0.7712,1.3656,2.2492,1.4781,0.7444,0.1125,0.1071,0.2678,8.5471,0.4338,0.1714,1.5477,1.7994,6.5924,0.9961,0.739,1.3549,1.7298,0.8783,2.5652,1.703,0.9693,0.407,0.316,0.4284,0.2945,0.0803,0.0107,0.0482,3.4006,0.9854,0.3802,1.2531,0.7605,0.2035,1.5263,8.4453,1.1193,7.7438,1.6387,4.145,2.1528,0.6908,0.5302,0.2249,0.482,0.1018,0.0482,0.0964,0.0214,0.0,0.0321,0.0428,0.0,GalsworthyJohn,unidentified
ABitOLov,1.692,1.3134,0.5095,0.8086,0.4066,0.7058,0.7198,0.6871,0.4627,1.1218,2.1173,1.3835,0.7291,0.1122,0.1496,0.2384,6.0668,0.229,0.1075,1.1872,1.72,4.9264,0.645,0.5001,0.874,1.2293,0.832,1.9397,1.692,0.874,0.4534,0.3459,0.631,0.4394,0.1122,0.0187,0.0795,3.0287,0.86,0.3505,1.1638,0.6684,0.1729,1.3508,5.7584,0.8273,7.67,1.4396,4.4356,2.0005,0.4908,0.5469,0.2477,0.2991,0.229,0.0561,0.4207,0.0374,0.3459,0.014,0.014,0.0047,GalsworthyJohn,unidentified
Fraternity,2.5717,2.1146,0.934,1.358,0.5628,0.9626,1.1388,1.0727,0.7699,1.2611,2.6609,1.4153,1.2214,0.2687,0.2313,0.4031,9.8275,0.2247,0.1167,2.7138,3.346,7.2129,1.4417,0.6509,1.1443,1.7457,1.054,2.3107,3.1059,1.5816,0.7005,0.7203,1.3613,0.8525,0.2985,0.0617,0.1718,3.0431,0.5518,0.4835,1.2423,0.6873,0.2974,5.8769,4.118,0.6707,10.626,1.6675,6.139,3.0365,0.598,0.4527,0.304,0.2478,0.1234,0.0947,0.0947,0.0242,0.0022,0.0198,0.0485,0.0011,GalsworthyJohn,unidentified
Beyond,2.389,1.8785,0.8034,1.3228,0.5664,0.9552,1.2704,1.1186,0.712,1.3094,3.0557,1.7746,1.2571,0.2512,0.2379,0.4794,10.3841,0.2131,0.1127,4.0224,3.227,7.6738,1.273,0.6862,1.6335,1.6992,1.1221,2.5328,2.855,1.3947,0.4865,0.91,1.3654,0.8762,0.2699,0.0701,0.1784,3.1808,0.6134,0.4687,1.2473,0.7537,0.2956,6.1193,3.9434,0.6525,11.0189,1.8616,6.0048,3.4303,0.3551,0.5211,0.3001,0.2095,0.103,0.0985,0.063,0.0098,0.0036,0.0089,0.0417,0.0,GalsworthyJohn,unidentified
heCountryHous,2.4612,1.9041,0.8491,1.3393,0.6317,1.0138,1.109,0.9945,0.6381,1.6146,2.7378,1.4371,1.2763,0.2496,0.2187,0.4361,9.792,0.2625,0.1866,2.3132,3.9459,7.0567,1.2904,0.669,1.1952,1.6018,1.1077,2.2579,2.7687,1.4345,0.5661,0.6278,1.1913,0.7899,0.2264,0.0309,0.1814,3.3605,0.6844,0.5159,1.3586,0.7449,0.3075,5.7059,4.1311,0.6857,10.0055,1.6391,5.648,2.9153,0.5236,0.4374,0.2612,0.2612,0.1647,0.0695,0.0656,0.0116,0.0026,0.0219,0.0296,0.0,GalsworthyJohn,unidentified
